iter	Passed	Remaining
0	1	771
1	3	739
2	4	740
3	6	730
4	8	723
5	10	801
6	12	815
7	14	805
8	16	794
9	17	785
10	19	775
11	21	766
12	22	762
13	24	757
14	27	794
15	29	789
16	30	781
17	32	775
18	34	770
19	35	766
20	37	761
21	39	758
22	40	753
23	43	767
24	45	763
25	46	758
26	48	754
27	49	749
28	51	744
29	53	741
30	54	738
31	56	734
32	58	739
33	60	742
34	62	739
35	64	736
36	66	733
37	67	730
38	69	727
39	71	724
40	72	720
41	75	728
42	77	730
43	79	728
44	81	726
45	82	725
46	84	722
47	86	718
48	87	715
49	89	712
50	92	722
51	94	719
52	96	716
53	97	714
54	99	711
55	101	708
56	102	705
57	104	702
58	107	707
59	109	706
60	111	704
61	112	701
62	114	698
63	115	695
64	117	692
65	119	690
66	120	687
67	123	691
68	125	690
69	127	687
70	129	685
71	130	682
72	132	679
73	133	677
74	135	674
75	137	672
76	140	675
77	142	673
78	143	671
79	145	668
80	146	665
81	148	663
82	150	660
83	151	658
84	153	655
85	156	657
86	157	655
87	159	653
88	161	651
89	163	648
90	164	646
91	166	643
92	167	640
93	169	638
94	172	641
95	174	640
96	176	638
97	178	636
98	179	634
99	181	631
100	183	629
101	184	626
102	187	628
103	189	626
104	190	623
105	192	621
106	194	618
107	195	616
108	197	614
109	199	612
110	200	609
111	203	610
112	205	609
113	207	607
114	208	604
115	210	602
116	212	600
117	213	597
118	215	595
119	217	593
120	219	593
121	221	591
122	223	589
123	224	587
124	226	585
125	228	583
126	229	581
127	231	578
128	233	576
129	235	576
130	237	574
131	239	572
132	240	570
133	242	567
134	244	565
135	245	563
136	247	561
137	248	559
138	251	558
139	253	557
140	255	555
141	256	553
142	258	551
143	260	549
144	261	547
145	263	545
146	265	542
147	267	543
148	269	541
149	271	539
150	273	537
151	274	535
152	276	533
153	278	530
154	279	528
155	281	526
156	283	526
157	285	524
158	287	522
159	289	521
160	291	519
161	293	517
162	295	515
163	296	513
164	298	511
165	301	511
166	303	509
167	304	508
168	306	506
169	308	503
170	309	501
171	311	499
172	313	497
173	316	497
174	317	495
175	319	493
176	321	491
177	322	489
178	324	487
179	326	485
180	327	483
181	329	481
182	331	480
183	333	478
184	335	476
185	336	474
186	338	472
187	340	470
188	341	468
189	343	466
190	345	464
191	346	462
192	349	461
193	351	459
194	352	457
195	354	455
196	356	453
197	357	451
198	359	449
199	361	447
200	363	447
201	365	445
202	367	443
203	369	441
204	370	439
205	372	437
206	374	435
207	375	433
208	377	431
209	380	431
210	383	430
211	385	429
212	387	427
213	389	425
214	390	423
215	392	421
216	393	419
217	396	418
218	398	416
219	400	414
220	401	412
221	403	410
222	405	408
223	406	406
224	408	404
225	410	402
226	412	401
227	414	399
228	416	397
229	417	395
230	419	394
231	421	392
232	422	390
233	424	388
234	425	386
235	428	385
236	430	383
237	432	381
238	433	379
239	435	377
240	437	375
241	438	373
242	440	371
243	442	369
244	444	368
245	446	366
246	448	364
247	450	363
248	451	361
249	453	359
250	455	357
251	456	355
252	458	353
253	461	352
254	462	350
255	464	348
256	466	346
257	468	344
258	469	342
259	471	340
260	473	338
261	474	337
262	477	336
263	480	334
264	481	332
265	483	330
266	485	328
267	486	326
268	488	324
269	489	322
270	492	321
271	494	319
272	496	318
273	497	316
274	499	314
275	501	312
276	502	310
277	504	308
278	505	306
279	508	305
280	510	303
281	512	301
282	513	299
283	515	297
284	517	295
285	519	294
286	520	292
287	522	290
288	525	288
289	526	287
290	528	285
291	530	283
292	531	281
293	533	279
294	535	277
295	536	275
296	538	273
297	541	272
298	543	270
299	544	268
300	546	266
301	548	265
302	549	263
303	551	261
304	553	259
305	554	257
306	557	256
307	559	254
308	561	252
309	563	250
310	564	248
311	566	246
312	568	245
313	569	243
314	571	241
315	574	240
316	576	238
317	578	236
318	579	234
319	581	232
320	583	230
321	584	228
322	586	226
323	588	225
324	591	223
325	593	221
326	594	220
327	596	218
328	598	216
329	599	214
330	601	212
331	603	210
332	606	209
333	607	207
334	609	205
335	611	203
336	612	201
337	614	199
338	616	198
339	617	196
340	619	194
341	622	192
342	624	191
343	625	189
344	627	187
345	628	185
346	630	183
347	632	181
348	633	179
349	635	177
350	638	176
351	640	174
352	642	172
353	643	170
354	645	169
355	646	167
356	648	165
357	650	163
358	651	161
359	654	159
360	655	158
361	657	156
362	659	154
363	660	152
364	662	150
365	664	148
366	665	146
367	667	145
368	669	143
369	671	141
370	673	139
371	674	137
372	676	136
373	678	134
374	679	132
375	681	130
376	683	128
377	686	127
378	688	125
379	689	123
380	691	121
381	692	119
382	694	117
383	696	116
384	697	114
385	700	112
386	702	110
387	704	108
388	706	107
389	707	105
390	709	103
391	711	101
392	712	99
393	714	97
394	717	96
395	719	94
396	720	92
397	722	90
398	724	88
399	725	87
400	727	85
401	729	83
402	731	81
403	733	79
404	735	78
405	737	76
406	738	74
407	740	72
408	742	70
409	743	68
410	745	67
411	748	65
412	749	63
413	751	61
414	753	59
415	755	58
416	756	56
417	758	54
418	759	52
419	761	50
420	764	49
421	766	47
422	768	45
423	770	43
424	771	41
425	773	39
426	775	38
427	776	36
428	778	34
429	781	32
430	783	30
431	785	29
432	786	27
433	788	25
434	790	23
435	791	21
436	793	19
437	796	18
438	798	16
439	799	14
440	801	12
441	803	10
442	804	9
443	806	7
444	808	5
445	809	3
446	812	1
447	814	0
